text,labels
Book six adult ticket from Attiguppe to Cubbon Park.,metro_booking O B-num_tickets O O O B-from_station O B-to_station I-to_station
I'd like to get 4 tickets from Dr. B.R. Ambedkar Station Vidhana Soudha to Rajarajeshwari Nagar.,metro_booking O O O O B-num_tickets O O O O O O O O O B-to_station I-to_station
Book four adult ticket from Jayaprakash Nagar to JP Nagar.,metro_booking O B-num_tickets O O O B-from_station I-from_station O B-to_station I-to_station
Get me a couple of tickets from Sandal Soap Factory to Silk Institute.,metro_booking O O B-num_tickets I-num_tickets I-num_tickets O O B-from_station I-from_station I-from_station O B-to_station I-to_station
Can you get me 2 tickets for the metro from Mysore Road to KR Market?,metro_booking O O O O B-num_tickets O O O O O B-from_station I-from_station O B-to_station I-to_station
I want to book metro tickets from Banashankari to Attiguppe for ten people.,metro_booking O O O O O O O B-from_station O B-to_station O B-num_tickets O
Please book 9 tickets from Rajarajeshwari Nagar to Majestic.,metro_booking O O B-num_tickets O O B-from_station I-from_station O B-to_station
Need 4 tickets from Yeshwanthpur to Rajarajeshwari Nagar.,metro_booking O B-num_tickets O O B-from_station O B-to_station I-to_station
Can I get a metro for 6 person from RV Road to Talaghattapura?,metro_booking O O O O O O B-num_tickets O O B-from_station I-from_station O B-to_station
Book a ticket from Nagasandra to Krantivira Sangolli Rayanna Railway Station for ten person.,metro_booking O O O O B-from_station O B-to_station I-to_station I-to_station I-to_station I-to_station O B-num_tickets O
I'd like to book seven tickets on the metro from Jayanagar to Sandal Soap Factory.,metro_booking O O O O B-num_tickets O O O O O B-from_station O B-to_station I-to_station I-to_station
I want to book metro tickets from Doddakallasandra to Whitefield for 4 people.,metro_booking O O O O O O O B-from_station O B-to_station O B-num_tickets O
How many tickets for Doddakallasandra to Silk Institute? four.,metro_booking O O O O B-from_station O B-to_station I-to_station B-num_tickets
Can I book two tickets from MG Road to Dasarahalli?,metro_booking O O O B-num_tickets O O B-from_station I-from_station O B-to_station
I want to book five tickets from Jayaprakash Nagar to Kadugodi.,metro_booking O O O O B-num_tickets O O B-from_station I-from_station O B-to_station
Please book eight tickets from Sandal Soap Factory to Vijayanagar.,metro_booking O O B-num_tickets O O B-from_station I-from_station I-from_station O B-to_station
Book 10 seats on the metro from Nayandahalli to Kadugodi.,metro_booking O B-num_tickets O O O O O B-from_station O B-to_station
I want to reserve 10 metro tickets from Kengeri to Whitefield.,metro_booking O O O O B-num_tickets O O O B-from_station O B-to_station
"seven tickets from Sandal Soap Factory to Kadugodi, please.",metro_booking B-num_tickets O O B-from_station I-from_station I-from_station O B-to_station O
I want to reserve ten metro tickets from Nayandahalli to National College.,metro_booking O O O O B-num_tickets O O O B-from_station O B-to_station I-to_station
How many tickets for JP Nagar to Yelachenahalli? 7.,metro_booking O O O O B-from_station I-from_station O B-to_station B-num_tickets
Book 8 adult ticket from Attiguppe to Vajrahalli.,metro_booking O B-num_tickets O O O B-from_station O B-to_station
Can I book six tickets from Sir M. Visvesvaraya Station Central College to Kadugodi?,metro_booking O O O B-num_tickets O O O O O O O O O B-to_station
I want to book a single trip from National College to Nagasandra.,metro_booking O O O O O B-num_tickets O O B-from_station I-from_station O B-to_station
Can I get a metro for 3 person from Doddakallasandra to Whitefield?,metro_booking O O O O O O B-num_tickets O O B-from_station O B-to_station
Can I book just one tickets from Dasarahalli to Banashankari?,metro_booking O O O B-num_tickets I-num_tickets O O B-from_station O B-to_station
I need to book one tickets from MG Road to Yelachenahalli.,metro_booking O O O O B-num_tickets O O B-from_station I-from_station O B-to_station
I need a ticket from Mahalaxmi to Sandal Soap Factory.,metro_booking O O O O O B-from_station O B-to_station I-to_station I-to_station
Book seven tickets from Kadugodi to Ragigudda.,metro_booking O B-num_tickets O O B-from_station O B-to_station
Please book ten tickets from Mantri Square Sampige Road to Yelachenahalli.,metro_booking O O B-num_tickets O O B-from_station I-from_station I-from_station I-from_station O B-to_station
Need 7 tickets from Sir M. Visvesvaraya Station Central College to Jayanagar.,metro_booking O B-num_tickets O O O O O O O O O B-to_station
Please book tickets from Indiranagar to Ragigudda for nine.,metro_booking O O O O B-from_station O B-to_station O B-num_tickets
Need seven tickets from South End Circle to Rajajinagar.,metro_booking O B-num_tickets O O B-from_station I-from_station I-from_station O B-to_station
I need to book tickets for 6 from Mantri Square Sampige Road to Cubbon Park.,metro_booking O O O O O O B-num_tickets O B-from_station I-from_station I-from_station I-from_station O B-to_station I-to_station
Can I get a metro for a person from Konankunte Cross to Kuvempu Road?,metro_booking O O O B-num_tickets O O O O O B-from_station I-from_station O B-to_station I-to_station
I'd like to get 10 tickets from Sandal Soap Factory to Lalbagh.,metro_booking O O O O B-num_tickets O O B-from_station I-from_station I-from_station O B-to_station
